name,commits,lastCommit
loopj/android-smart-image-view,25,2023-08-03T04:39:36
xwiki/xwiki-platform,47630,2023-09-05T03:35:16
spring-projects/spring-amqp-samples,208,2023-08-21T10:53:07
indy256/codelibrary,1449,2023-08-06T10:37:44
jorensix/tarsosdsp,313,2023-01-20T01:56:06
archimatetool/archi,2744,2023-08-31T10:28:46
apache/bookkeeper,3227,2023-09-01T05:20:10
kong/unirest-java,1889,2023-08-13T02:47:38
java-native-access/jna,4096,2023-09-01T07:27:01
jodaorg/joda-money,381,2022-12-06T08:29:37
jodaorg/joda-time,2270,2023-08-29T08:03:41
mvel/mvel,3143,2023-08-23T07:32:59
cometd/cometd,4915,2023-08-25T09:27:43
aaberg/sql2o,661,2022-09-19T06:04:58
nutzam/nutz,6276,2023-06-08T02:26:44
jboss-developer/jboss-eap-quickstarts,2271,2023-02-13T02:13:41
nayuki/project-euler-solutions,765,2022-09-17T04:25:49
eclipse-vertx/vert.x,5755,2023-09-01T09:09:45
kohsuke/args4j,622,2022-12-19T03:37:09
wisser/jailer,4914,2023-08-31T09:54:06
jsqlparser/jsqlparser,2020,2023-09-05T10:22:25
google/truth,1838,2023-09-05T02:48:09
gitblit/gitblit,3332,2022-11-13T06:26:41
mendhak/gpslogger,2811,2023-08-14T08:48:02
wvengen/proguard-maven-plugin,394,2023-08-31T05:40:33
cucumber/cucumber-jvm,6159,2023-08-30T10:46:29
angryip/ipscan,1778,2023-02-11T05:08:49
msgpack/msgpack-java,1737,2023-08-07T06:25:30
tony19/logback-android,4479,2023-06-16T02:04:49
spring-projects/spring-data-redis,2817,2023-09-05T06:25:24
swagger-api/swagger-core,4215,2023-08-26T05:13:16
liquibase/liquibase,12672,2023-09-05T11:40:03
rajawali/rajawali,2268,2023-01-30T04:27:37
cgeo/cgeo,17391,2023-09-05T10:05:56
eclipse/jetty.project,25066,2023-09-03T09:02:33
asksven/betterbatterystats,333,2023-05-08T05:07:36
opentripplanner/opentripplanner,21150,2023-09-04T01:16:29
netflix/priam,1503,2023-08-03T10:03:33
spring-projects/spring-integration,11468,2023-09-05T05:45:11
fluentlenium/fluentlenium,3126,2023-09-04T10:58:42
querydsl/querydsl,8071,2022-10-11T05:48:11
jcoleman/tomcat-redis-session-manager,105,2023-01-03T01:52:24
jetbrains/grammar-kit,1176,2023-04-12T08:10:42
spring-projects/spring-integration-samples,640,2023-08-15T07:10:16
stripe/stripe-java,2625,2023-08-31T08:28:45
apache/flume,2004,2023-06-04T06:12:02
apache/kafka,11619,2023-09-04T11:54:18
jshiell/checkstyle-idea,1084,2023-08-06T10:27:06
apereo/cas,23533,2023-09-05T05:44:36
restfb/restfb,2128,2023-08-31T10:36:51
apache/oozie,2408,2023-08-07T02:21:07
opensagres/xdocreport,1232,2022-12-29T09:38:17
carrot2/carrot2,6097,2023-05-08T08:00:25
voltdb/voltdb,28864,2023-08-11T11:15:30
apache/ambari,24864,2023-08-28T06:29:01
usc-isi-i2/web-karma,4374,2023-09-05T03:37:01
spring-projects/spring-data-neo4j,1918,2023-09-05T06:25:21
apache/tomcat,25448,2023-09-05T02:46:21
sleuthkit/autopsy,35494,2023-08-31T05:25:44
apache/accumulo,12042,2023-09-01T04:06:00
geogebra/geogebra,63530,2023-09-05T08:10:05
zxing/zxing,3740,2023-09-04T02:00:50
spring-projects/spring-data-mongodb,3705,2023-08-31T07:43:58
openstreetmap/osmosis,1864,2023-09-02T12:57:44
gephi/gephi,7094,2023-03-30T07:14:39
chewiebug/gcviewer,778,2023-03-05T03:52:57
internetarchive/heritrix3,2467,2023-03-10T01:12:30
javaparser/javaparser,8866,2023-09-04T06:53:47
alibaba/fastjson,3983,2023-05-12T06:16:03
alibaba/druid,6875,2023-09-06T12:58:36
chocoteam/choco-solver,6216,2023-08-29T07:22:50
geoserver/geoserver,13265,2023-09-06T01:20:56
apache/opennlp,2064,2023-09-04T06:53:02
geotools/geotools,9696,2023-09-05T11:43:31
ata4/bspsrc,639,2023-09-02T12:38:48
zeroturnaround/zt-zip,462,2023-08-03T11:56:10
iandarwin/android-cookbook-examples,1184,2023-07-30T04:53:18
axonframework/axonframework,10218,2023-09-05T06:47:23
lightbend/config,1039,2023-07-07T01:29:14
azure/azure-sdk-for-java,27847,2023-09-05T08:57:29
elastic/elasticsearch-mapper-attachments,238,2023-06-20T11:11:30
broadleafcommerce/broadleafcommerce,18082,2023-09-05T05:45:56
resteasy/resteasy,5775,2023-09-05T03:39:48
signalapp/signal-android,13184,2023-08-28T10:58:47
medcl/elasticsearch-analysis-ik,259,2022-09-02T10:44:03
netflix/servo,1278,2023-03-27T03:54:14
nuxeo/nuxeo,51180,2023-07-28T04:36:02
fasterxml/jackson-core,2628,2023-08-31T09:56:31
fasterxml/jackson-annotations,808,2023-08-19T01:51:18
togglz/togglz,1457,2023-08-31T09:07:21
bguerout/jongo,1077,2022-12-04T11:01:46
jooq/joor,260,2023-08-24T08:21:03
jlegewie/zotfile,1116,2023-08-03T02:12:59
nightwhistler/htmlspanner,146,2022-09-29T08:33:05
mcmmo-dev/mcmmo,6627,2023-09-03T11:41:35
spring-projects/spring-security,14086,2023-09-05T05:23:30
mrniko/netty-socketio,968,2023-08-23T12:51:36
kenglxn/qrgen,338,2022-11-29T10:13:47
wstrange/googleauth,275,2022-10-16T04:10:43
dozermapper/dozer,1081,2023-04-04T01:25:03
caprica/vlcj,2880,2023-04-04T02:04:25
minecraftforge/minecraftforge,8621,2023-09-02T11:21:06
pac4j/pac4j,4577,2023-09-05T02:06:03
lukas-krecan/jsonunit,1544,2023-09-05T08:28:18
knowm/xchange,12722,2023-08-13T10:34:08
selenide/selenide,4918,2023-09-05T08:59:06
pgjdbc/pgjdbc,3317,2023-09-01T09:09:31
ppareit/swiftp,585,2023-04-20T10:32:04
cloudfoundry/uaa,10237,2023-09-05T07:29:45
oshi/oshi,2751,2023-09-05T09:43:01
igvteam/igv,6932,2023-09-02T12:19:47
spring-projects/spring-shell,892,2023-08-30T06:19:35
citizensdev/citizens2,3043,2023-09-03T03:41:38
graphhopper/graphhopper,6416,2023-09-04T08:51:06
nroduit/weasis,2908,2023-08-25T01:19:04
iiordanov/remote-desktop-clients,1241,2023-08-24T06:49:24
locationtech/spatial4j,209,2023-04-01T04:27:11
apereo/java-cas-client,1461,2023-09-04T02:12:22
open-keychain/open-keychain,7304,2023-01-05T04:09:21
spring-projects/spring-data-rest,1659,2023-08-31T11:39:32
http-kit/http-kit,642,2023-08-04T09:27:05
dotcms/core,24511,2023-09-06T12:31:52
dspace/dspace,17175,2023-08-23T09:58:58
ibotpeaches/apktool,2043,2023-09-04T03:30:18
pentaho/mondrian,4376,2023-08-28T03:53:42
hazelcast/hazelcast,37588,2023-09-06T12:01:47
qiniu/java-sdk,1669,2023-07-25T01:45:33
buchen/portfolio,5592,2023-07-26T02:44:40
bitcoin-wallet/bitcoin-wallet,4353,2023-09-04T12:11:41
hamcrest/javahamcrest,844,2022-12-28T04:47:48
wala/wala,7145,2023-09-06T01:13:44
jgrapht/jgrapht,3336,2023-07-31T09:11:11
traccar/traccar,8199,2023-09-02T08:07:09
buildcraft/buildcraft,7359,2023-08-04T08:02:11
anysoftkeyboard/anysoftkeyboard,7479,2023-08-20T03:52:59
realm/realm-java,8984,2023-08-08T09:33:12
flapdoodle-oss/de.flapdoodle.embed.mongo,1242,2023-08-26T01:03:17
jfinal/jfinal,512,2023-09-04T06:58:41
magefree/mage,41750,2023-09-04T04:36:07
mitre/http-proxy-servlet,255,2023-08-06T03:13:05
aragozin/jvm-tools,429,2023-04-19T12:29:45
groovy/groovy-eclipse,6226,2023-09-05T10:03:33
spring-projects/spring-hateoas,1216,2023-07-19T08:04:26
netflix/archaius,645,2023-08-31T09:36:56
plutext/docx4j,3908,2023-03-11T11:02:44
find-sec-bugs/find-sec-bugs,1342,2023-07-26T05:28:00
thymeleaf/thymeleaf,5380,2023-07-30T09:53:54
esteinberg/plantuml4idea,773,2023-08-31T09:44:30
sarxos/webcam-capture,705,2022-11-28T08:38:48
i2p/i2p.i2p,16908,2023-09-04T04:45:48
jknack/handlebars.java,1074,2023-03-04T10:41:59
mapstruct/mapstruct,1667,2023-08-19T08:09:36
openzipkin/zipkin,2744,2023-08-29T01:42:04
universalmediaserver/universalmediaserver,9425,2023-09-04T12:44:15
nelenkov/android-backup-extractor,130,2023-09-05T03:33:59
dadoonet/fscrawler,2366,2023-09-04T07:10:06
sirixdb/sirix,3343,2023-09-01T02:32:39
intel-bigdata/hibench,1536,2023-07-19T07:28:47
objectify/objectify,1225,2022-12-25T05:25:33
airlift/airlift,2888,2023-07-26T09:04:43
apache/dubbo,7056,2023-09-05T03:22:21
naver/ngrinder,4923,2023-07-24T01:39:51
mit-cml/appinventor-sources,3261,2023-08-31T07:31:57
winder/universal-g-code-sender,3021,2023-09-05T05:56:22
daneren2005/subsonic,3943,2023-08-15T03:14:07
damianszczepanik/cucumber-reporting,1303,2023-08-15T09:25:42
jacoco/jacoco,1821,2023-07-13T01:00:12
netflix/governator,1116,2023-03-20T11:24:31
lemire/javafastpfor,386,2023-07-13T06:32:23
pmd/pmd,26570,2023-08-31T02:20:57
takari/polyglot-maven,812,2023-08-27T01:42:32
jeeeyul/eclipse-themes,980,2023-03-24T01:51:42
lz4/lz4-java,460,2023-05-12T08:58:41
ron190/jsql-injection,1002,2023-08-31T08:44:05
square/pollexor,164,2023-09-04T08:32:46
undertow-io/undertow,5620,2023-08-17T09:28:57
ignatov/intellij-erlang,2125,2023-07-31T08:12:35
netflix/eureka,1687,2023-01-24T10:43:04
openmrs/openmrs-core,11984,2023-09-05T01:15:36
antennapod/antennapod,8566,2023-08-28T03:27:53
zeromq/jeromq,1416,2023-08-30T12:14:13
openwdl/wdl,606,2023-05-25T05:30:17
qiniu/android-sdk,1699,2023-08-07T07:01:32
allwefantasy/serviceframework,380,2022-09-16T09:52:32
